Date,MSCI World
1972-08-31,0.0032440704508049922
1972-09-01,0.0024252470425147887
1972-09-04,-0.0008064393074281861
1972-09-05,-0.0024213321070472027
1972-09-06,-0.004045307493306227
1972-09-07,-0.000812335299436362
1972-09-08,-0.0024390492012830167
1972-09-11,-0.006519930254772044
1972-09-12,-0.006562781310449628
1972-09-13,0.002477316726159362
1972-09-14,-0.000823710649622833
1972-09-15,0.0
1972-09-18,-0.004122011437927564
1972-09-19,-0.002483468908765496
1972-09-20,0.0
1972-09-21,-0.0016597257115533726
1972-09-22,-0.0016625484003576219
1972-09-25,0.0
1972-09-26,0.0
1972-09-27,0.007493768004275481
1972-09-28,0.002479364064114087
1972-09-29,0.0024731691246147047
1972-10-02,-0.0008223558830255939
1972-10-03,0.008230452674897082
1972-10-04,-0.005714260801977011
