,S&P GSCI,GOLD,MSCI World
2009-01-09,10.283888029266851,,-2.457955188354688
2009-01-12,9.913898280063883,,-2.70269700368706
2009-01-13,10.360927221498596,,-2.9054537531285507
2009-01-14,10.35372703293822,,-3.2403362819151904
2009-01-15,10.22887420754004,,-3.288051055679264
2009-01-16,10.196496093588149,,-3.203458767376821
2009-01-20,9.733939719992545,,-3.6944218506409054
2009-01-21,9.90573931489418,,-3.4520619616667414
2009-01-22,9.871518475590246,,-3.3554722512011415
2009-01-23,10.173804522070128,,-3.400639478280021
2009-01-26,10.030717264650658,,-3.322805134944229
2009-01-27,9.536276954239419,,-3.1263240499157297
2009-01-28,9.378105518554069,,-3.0208004955636802
2009-01-29,9.306267096700594,,-3.220408709148781
2009-01-30,9.253780386135091,,-3.4166022172682387
2009-02-02,8.82655999686419,,-3.565863113163681
2009-02-03,9.018929672923814,,-3.4803340050707954
2009-02-04,9.24127910909538,,-3.5165307811435897
2009-02-05,9.485567146768602,,-3.528670570657333
2009-02-06,9.602960626244927,,-3.426302879502119
2009-02-09,9.839183425481956,,-3.3786358562175822
2009-02-10,9.73831091084958,,-3.782063024417226
2009-02-11,9.52496216718719,,-3.7612332757518407
2009-02-12,9.566453692320787,,-3.7694365060183976
2009-02-13,9.603868321220999,,-3.722944327114197
2009-02-17,9.01133551692077,,-4.191539991943616
2009-02-18,8.70277917029416,,-4.150006649262716
2009-02-19,8.99420793397434,,-4.165945641587632
2009-02-20,8.820547098746223,,-4.48899577823515
2009-02-23,8.801103650596055,,-4.783019228745255
2009-02-24,9.007778868174654,,-4.643328161115368
2009-02-25,9.342307793327498,,-4.757695697935671
2009-02-26,9.79960195877747,,-4.8217902228251734
2009-02-27,9.71517875041561,,-4.929721902811757
2009-03-02,8.983171658698152,,-5.360036892145759
2009-03-03,9.22694628477483,,-5.440727940937817
2009-03-04,9.782471526668445,,-5.250222655149583
2009-03-05,9.413157082673207,,-5.5018687632647385
2009-03-06,9.716800525700076,,-5.567614359207374
2009-03-09,10.06161482591259,,-5.687280923270244
2009-03-10,9.98375686400308,,-5.201655098910763
2009-03-11,9.413587317023286,,-5.123582420728656
2009-03-12,10.134362664157216,,-4.958538430516956
2009-03-13,10.0823788945831,,-4.82278670193752
2009-03-16,10.08063406774189,,-4.727221004066628
