,S&P GSCI
2010-03-09,9.455120024051178
2010-03-10,9.52462763571804
2010-03-11,9.47099326907459
2010-03-12,9.53532948095046
2010-03-15,9.427681020826073
2010-03-16,9.57800923917591
2010-03-17,9.670234604096395
2010-03-18,9.502170365415697
2010-03-19,9.283950958176646
2010-03-22,9.331138597445143
2010-03-23,9.242589829374047
2010-03-24,8.794610034953232
2010-03-25,8.773087416394088
2010-03-26,8.739499681856323
2010-03-29,8.852671992783478
2010-03-30,8.614621580312743
2010-03-31,9.304212943072955
2010-04-01,9.397257517332292
2010-04-05,9.685962749931054
2010-04-06,9.69677716723556
2010-04-07,9.678750842701621
2010-04-08,9.755283731808785
2010-04-09,9.740703699321696
2010-04-12,9.76584429402807
2010-04-13,10.141293744327928
2010-04-14,10.24880901187213
2010-04-15,10.309213762105518
2010-04-16,10.148685686581826
2010-04-19,9.835644140570032
2010-04-20,9.954061968150029
2010-04-21,10.069238413215853
2010-04-22,10.282347192725538
2010-04-23,10.348525180471114
2010-04-26,10.185271108319593
2010-04-27,10.124159769754248
2010-04-28,10.44682149754177
2010-04-29,10.464856815458813
2010-04-30,10.639744160795917
2010-05-03,10.814143598083792
2010-05-04,10.741780633915198
2010-05-05,10.43528043987405
2010-05-06,9.81805412247434
2010-05-07,9.700201384128505
2010-05-10,10.06200715799126
2010-05-11,10.019699599777265
2010-05-12,10.03999370997175
2010-05-13,9.789750099836226
2010-05-14,9.398834726019789
2010-05-17,9.04632868015398
2010-05-18,9.151494356716627
2010-05-19,9.179871991741283
2010-05-20,8.899102952255733
2010-05-21,8.83272307005074
2010-05-24,8.71409627912525
2010-05-25,8.272650298597227
2010-05-26,8.62941767185157
2010-05-27,8.895874648960378
2010-05-28,8.822765663647235
2010-06-01,8.504994541516119
2010-06-02,8.423348819976816
2010-06-03,8.57509435970536
2010-06-04,8.044013830779594
2010-06-07,7.972119228863805
2010-06-08,8.000337269147483
2010-06-09,8.207148012324271
2010-06-10,8.33003398884895
2010-06-11,8.134292030723822
2010-06-14,8.325304757555664
2010-06-15,8.691315683010137
2010-06-16,8.747070828960801
2010-06-17,8.49168367041273
2010-06-18,8.347111245100368
2010-06-21,8.45690975689244
2010-06-22,8.367556874334081
2010-06-23,8.408894229198548
2010-06-24,8.29385284149009
2010-06-25,8.458783456825337
2010-06-28,8.436250340791185
2010-06-29,8.119277819210824
2010-06-30,8.246222271580628
