Date,S&P GSCI,GOLD,EUR-USD,MSCI World
1970-08-26,,35.95,,
1970-08-27,,36.0,,
1970-08-28,,36.05,,
1970-08-31,,36.1,,
1970-09-01,,36.15,,
1970-09-02,,36.35,,
1970-09-03,,36.55,,
1970-09-04,,36.5,,
1970-09-08,,36.35,,
1970-09-09,,36.5,,
1970-09-10,,36.45,,
1970-09-11,,36.6,,
1970-09-14,,36.55,,
1970-09-15,,36.45,,
1970-09-16,,36.3,,
1970-09-17,,36.45,,
1970-09-18,,36.4,,
1970-09-21,,36.5,,
1970-09-22,,36.55,,
1970-09-23,,36.45,,
1970-09-24,,36.5,,
1970-09-25,,36.4,,
1970-09-28,,36.45,,
1970-09-30,,36.65,,
1970-10-01,,36.6,,
1970-10-05,,37.0,,
1970-10-06,,37.1,,
1970-10-07,,36.95,,
1970-10-08,,37.0,,
1970-10-09,,37.2,,
1970-10-12,,37.45,,
1970-10-13,,37.65,,
1970-10-14,,37.5,,
1970-10-15,,37.8,,
1970-10-16,,37.75,,
1970-10-19,,37.85,,
1970-10-20,,38.15,,
1970-10-21,,38.2,,
1970-10-22,,38.25,,
1970-10-23,,38.7,,
1970-10-26,,39.2,,
1970-10-27,,39.3,,
1970-10-28,,38.95,,
1970-10-29,,38.45,,
1970-10-30,,37.55,,
1970-11-02,,37.9,,
1970-11-04,,37.45,,
1970-11-05,,37.05,,
1970-11-06,,37.4,,
1970-11-09,,37.65,,
1970-11-11,,37.5,,
1970-11-12,,37.65,,
1970-11-13,,37.95,,
1970-11-18,,37.75,,
1970-11-19,,37.7,,
1970-11-20,,37.9,,
1970-11-23,,37.75,,
1970-11-24,,37.9,,
1970-11-25,,37.95,,
1970-11-30,,37.8,,
1970-12-01,,37.75,,
1970-12-02,,37.85,,
1970-12-07,,37.7,,
1970-12-08,,37.65,,
1970-12-09,,37.4,,
1970-12-10,,37.45,,
1970-12-14,,37.6,,
1970-12-15,,37.9,,
1970-12-16,,37.85,,
1970-12-17,,37.9,,
1970-12-22,,37.95,,
1970-12-23,,37.6,,
1970-12-24,,37.65,,
1970-12-30,,37.7,,
1970-12-31,,37.65,,
1971-01-04,,37.75,,
1971-01-05,,37.8,,
1971-01-06,,37.7,,
1971-01-08,,37.75,,
1971-01-11,,38.0,,
1971-01-12,,38.25,,
1971-01-13,,38.3,,
1971-01-14,,38.25,,
1971-01-15,,38.4,,
1971-01-18,,38.35,,
1971-01-19,,38.2,,
1971-01-20,,38.4,,
1971-01-21,,38.35,,
1971-01-22,,38.25,,
1971-01-25,,38.35,,
1971-01-26,,38.45,,
1971-01-27,,38.3,,
1971-01-28,,38.35,,
1971-02-01,,38.45,,
1971-02-02,,38.8,,
1971-02-03,,39.2,,
1971-02-04,,38.75,,
1971-02-08,,38.95,,
1971-02-09,,39.15,,
1971-02-11,,39.25,,
1971-02-12,,39.15,,
1971-02-16,,39.25,,
1971-02-17,,39.15,,
1971-02-19,,39.05,,
1971-02-23,,39.1,,
1971-02-24,,39.05,,
1971-02-25,,39.1,,
1971-03-01,,39.0,,
1971-03-03,,39.1,,
1971-03-04,,39.05,,
1971-03-08,,39.1,,
1971-03-10,,39.15,,
1971-03-11,,39.3,,
1971-03-16,,39.2,,
1971-03-17,,39.15,,
1971-03-18,,39.3,,
1971-03-19,,39.2,,
1971-03-23,,39.25,,
1971-03-24,,39.2,,
1971-03-29,,39.05,,
1971-03-30,,39.1,,
1971-03-31,,39.15,,
1971-04-01,,39.2,,
1971-04-02,,39.15,,
1971-04-07,,39.2,,
1971-04-08,,39.25,,
1971-04-14,,39.2,,
1971-04-16,,39.25,,
1971-04-20,,39.2,,
1971-04-22,,39.45,,
1971-04-23,,39.3,,
1971-04-26,,39.2,,
1971-04-28,,39.45,,
1971-04-29,,39.7,,
1971-04-30,,39.95,,
1971-05-03,,39.7,,
1971-05-04,,39.95,,
1971-05-05,,40.4,,
1971-05-06,,40.65,,
1971-05-07,,40.1,,
1971-05-11,,40.5,,
1971-05-12,,40.75,,
1971-05-13,,41.15,,
1971-05-14,,41.55,,
1971-05-17,,41.05,,
1971-05-18,,41.2,,
1971-05-19,,40.95,,
1971-05-20,,41.45,,
1971-05-21,,41.25,,
1971-05-24,,41.1,,
1971-05-25,,41.3,,
1971-05-26,,41.15,,
1971-05-27,,41.1,,
1971-05-28,,41.15,,
1971-06-02,,40.9,,
1971-06-07,,40.75,,
1971-06-09,,40.2,,
1971-06-10,,40.05,,
1971-06-11,,39.9,,
1971-06-14,,39.85,,
1971-06-15,,39.9,,
1971-06-16,,40.3,,
1971-06-17,,40.15,,
1971-06-18,,40.2,,
1971-06-21,,40.25,,
1971-06-22,,40.4,,
1971-06-23,,40.6,,
1971-06-24,,40.65,,
1971-06-25,,40.4,,
1971-06-28,,40.25,,
1971-06-29,,40.2,,
1971-06-30,,40.4,,
1971-07-01,,40.55,,
1971-07-02,,40.65,,
1971-07-06,,40.6,,
1971-07-07,,40.55,,
1971-07-09,,40.5,,
1971-07-12,,40.65,,
1971-07-13,,40.6,,
1971-07-15,,40.7,,
1971-07-16,,41.0,,
1971-07-19,,41.3,,
1971-07-20,,41.2,,
1971-07-21,,41.45,,
1971-07-22,,42.05,,
1971-07-23,,42.0,,
1971-07-26,,42.05,,
1971-07-27,,42.25,,
1971-07-28,,42.4,,
1971-07-29,,42.6,,
1971-07-30,,42.7,,
1971-08-02,,42.65,,
1971-08-03,,42.6,,
1971-08-04,,42.9,,
1971-08-05,,43.15,,
1971-08-06,,42.9,,
1971-08-09,,44.25,,
1971-08-10,,43.55,,
1971-08-11,,43.25,,
1971-08-12,,43.6,,
1971-08-13,,43.35,,
1971-08-17,,43.55,,
1971-08-18,,43.65,,
1971-08-19,,43.7,,
1971-08-20,,43.65,,
1971-08-24,,43.55,,
1971-08-25,,43.1,,
1971-08-26,,42.3,,
1971-08-27,,41.4,,
1971-08-30,,41.75,,
1971-08-31,,41.0,,
1971-09-01,,41.45,,
1971-09-02,,41.65,,
1971-09-03,,42.05,,
1971-09-07,,41.9,,
1971-09-08,,41.75,,
1971-09-09,,42.1,,
1971-09-10,,42.0,,
1971-09-13,,41.95,,
1971-09-14,,42.15,,
1971-09-15,,42.3,,
1971-09-16,,42.6,,
1971-09-17,,42.4,,
1971-09-20,,42.65,,
1971-09-22,,42.5,,
1971-09-23,,42.55,,
1971-09-24,,42.8,,
1971-09-27,,42.9,,
1971-09-28,,43.45,,
1971-09-29,,42.85,,
1971-09-30,,42.9,,
1971-10-01,,42.7,,
1971-10-04,,42.9,,
1971-10-05,,42.7,,
1971-10-06,,42.75,,
1971-10-07,,42.85,,
1971-10-08,,42.75,,
1971-10-12,,42.8,,
1971-10-13,,43.0,,
1971-10-14,,42.9,,
1971-10-15,,42.85,,
1971-10-19,,42.8,,
1971-10-20,,42.75,,
1971-10-22,,42.8,,
